event_id,asset_id,title,event_type_id,start_date,end_date,event_status,description,performed_by,created_at,cost
cb5e8431-462e-435a-a49f-7b8b95,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Commissioning,1,2023-03-16 00:00:00,2023-03-17 00:00:00,completed,Initial commissioning and calibration of FIX-03E9A2,Contractor,2025-04-16 12:49:39,1051.86
4dd4116f-1775-439c-9ca0-43599e,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Repair,3,2024-03-15 00:00:00,2024-03-17 00:00:00,scheduled,Repair for FIX-03E9A2,Internal Team,2025-04-16 12:49:39,
e0b9df11-4adf-466b-87d7-9896f4,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Inspection,2,2024-05-14 00:00:00,2024-05-15 00:00:00,in_progress,Inspection for FIX-03E9A2,Vendor,2025-04-16 12:49:39,
09e3e403-1dec-418d-be59-e13293,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Alteration,4,2024-07-13 00:00:00,2024-07-15 00:00:00,completed,Alteration for FIX-03E9A2,Internal Team,2025-04-16 12:49:39,886.05
59a5ffbf-32ef-4bec-bbac-225d00,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Maintenance,1,2024-10-11 00:00:00,2024-10-13 00:00:00,in_progress,Maintenance for FIX-03E9A2,Contractor,2025-04-16 12:49:39,
438635eb-5ee5-4adb-a2f9-2bfd1a,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Alteration,4,2025-01-09 00:00:00,2025-01-12 00:00:00,completed,Alteration for FIX-03E9A2,Vendor,2025-04-16 12:49:39,3147.61
46d559a7-1623-4ac7-ab0d-2e7581,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Inspection,2,2025-04-09 00:00:00,2025-04-11 00:00:00,scheduled,Inspection for FIX-03E9A2,Internal Team,2025-04-16 12:49:39,
f92cf1a3-7b10-44e6-98c0-4d00d9,SYS-4A549A15-F-80829-A-42818,FIX-03E9A2 Repair,3,2025-07-08 00:00:00,2025-07-10 00:00:00,in_progress,Repair for FIX-03E9A2,Internal Team,2025-04-16 12:49:39,
2acad881-61b9-4912-a23f-ea824a,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Commissioning,1,2021-07-26 00:00:00,2021-07-27 00:00:00,completed,Initial commissioning and calibration of FIX-555089,Vendor,2025-04-16 12:49:39,3161.67
8d5118c4-6abe-48c6-8d8c-e7b1a0,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Repair,3,2021-10-24 00:00:00,2021-10-27 00:00:00,completed,Repair for FIX-555089,Internal Team,2025-04-16 12:49:39,715.1
3c61af34-ec8d-47fa-a4ac-ce499c,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Inspection,2,2021-12-23 00:00:00,2021-12-24 00:00:00,completed,Inspection for FIX-555089,Internal Team,2025-04-16 12:49:39,4215.8
4608ec35-c3e5-4057-9a43-07e4c7,SYS-4A549A15-F-80829-A-5CC36,FIX-555089 Inspection,2,2022-01-22 00:00:00,2022-01-25 00:00:00,in_progress,Inspection for FIX-555089,Contractor,2025-04-16 12:49:39,
